episode,timestep,reward
105,2000,19.0286
200,4000,21.0211
274,6000,27.0135
351,8000,25.961
398,10000,40.766
437,12000,53.4872
459,14000,88.5909
480,16000,97.1905
493,18000,149.8462
505,20000,172.1667
515,22000,186.0
522,24000,291.7143
530,26000,241.375
537,28000,284.1429
544,30000,306.1429
549,32000,349.4
557,34000,262.375
566,36000,234.7778
572,38000,320.5
578,40000,327.0
584,42000,350.8333
589,44000,362.2
594,46000,445.2
598,48000,498.75
602,50000,455.0
606,52000,500.0
610,54000,456.75
615,56000,471.0
621,58000,310.8333
627,60000,361.1667
631,62000,459.25
635,64000,498.25
639,66000,476.0
643,68000,465.75
647,70000,500.0
652,72000,469.0
656,74000,472.5
660,76000,497.0
664,78000,500.0
668,80000,498.5
672,82000,457.0
677,84000,435.0
681,86000,454.25
686,88000,432.4
690,90000,500.0
694,92000,455.75
698,94000,500.0
702,96000,487.5
708,98000,395.0
713,100000,376.2
